player,dst_sacks,dst_int,dst_fum_rec,dst_fum_force,dst_td,dst_safety,dst_pts_allowed,dst_yds_allowed,site_pts,src_id,data_src,pos,id,team,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,return_tds,dst_int_tds,dst_ret_tds,dst_tackle
NA,3.39,1.31,0.71,NA,0.14,0.04,19.3,NA,8.59,100011,NFL,DST,0523,Green Bay Packers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.86,0.89,0.63,NA,0.16,0.06,22.68,NA,7.28,100020,NFL,DST,0524,Minnesota Vikings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
NA,2.8,0.9,0.61,NA,0.16,0.05,19.21,NA,7.18,100022,NFL,DST,0529,New Orleans Saints,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
NA,2.63,0.98,0.6,NA,0.17,0.03,21.18,NA,7.11,100028,NFL,DST,0514,Los Angeles Chargers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.63,0.96,0.67,NA,0.15,0.03,19.88,NA,7.03,100006,NFL,DST,0506,Cincinnati Bengals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA
NA,2.15,1.04,0.74,NA,0.15,0.03,21.72,NA,7.03,100024,NFL,DST,0505,New York Jets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA
NA,2.8,0.86,0.61,NA,0.15,0.04,19.99,NA,6.96,100032,NFL,DST,0520,Washington Commanders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.44,1.08,0.57,NA,0.15,0.03,19.58,NA,6.94,100029,NFL,DST,0530,San Francisco 49ers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.6,0.96,0.63,NA,0.15,0.04,24.68,NA,6.94,100017,NFL,DST,0528,Los Angeles Rams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA
NA,2.85,0.91,0.58,NA,0.14,0.04,22.37,NA,6.93,100018,NFL,DST,0513,Las Vegas Raiders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA
NA,2.2,1.03,0.64,NA,0.16,0.04,17.49,NA,6.88,100002,NFL,DST,0531,Baltimore Ravens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
NA,2.65,0.91,0.62,NA,0.14,0.03,20.32,NA,6.85,100008,NFL,DST,0516,Dallas Cowboys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.49,0.96,0.61,NA,0.15,0.03,20.81,NA,6.83,100025,NFL,DST,0518,Philadelphia Eagles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.14,0.94,0.67,NA,0.16,0.03,21.59,NA,6.8,100003,NFL,DST,0501,Buffalo Bills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA
NA,2.53,0.9,0.66,NA,0.15,0.03,23.09,NA,6.79,100004,NFL,DST,0527,Carolina Panthers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA
NA,2.39,0.95,0.6,NA,0.15,0.03,21.68,NA,6.69,100015,NFL,DST,0509,Jacksonville Jaguars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.51,0.81,0.65,NA,0.15,0.03,25.08,NA,6.63,100013,NFL,DST,0532,Houston Texans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.5,0.79,0.63,NA,0.16,0.04,25.02,NA,6.62,100026,NFL,DST,0519,Arizona Cardinals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.22,0.91,0.62,NA,0.18,0.03,26.15,NA,6.6,100031,NFL,DST,0525,Tampa Bay Buccaneers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA
NA,2.49,0.79,0.62,NA,0.15,0.05,21.58,NA,6.55,100021,NFL,DST,0504,New England Patriots,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.26,0.88,0.6,NA,0.16,0.03,18.45,NA,6.54,100030,NFL,DST,0515,Seattle Seahawks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
NA,2.15,0.94,0.63,NA,0.15,0.03,21.96,NA,6.43,100012,NFL,DST,0508,Tennessee Titans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA
NA,2.02,0.94,0.66,NA,0.15,0.03,24.8,NA,6.42,100023,NFL,DST,0517,New York Giants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.41,0.8,0.57,NA,0.13,0.05,22.43,NA,6.33,100007,NFL,DST,0507,Cleveland Browns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
NA,2.53,0.72,0.62,NA,0.14,0.03,22.01,NA,6.29,100027,NFL,DST,0510,Pittsburgh Steelers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA
NA,2.25,0.83,0.57,NA,0.14,0.04,19.52,NA,6.27,100001,NFL,DST,0526,Atlanta Falcons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
NA,2.1,0.84,0.64,NA,0.14,0.03,19.84,NA,6.26,100016,NFL,DST,0512,Kansas City Chiefs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
NA,2.07,0.7,0.65,NA,0.15,0.03,22.53,NA,6.21,100005,NFL,DST,0521,Chicago Bears,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA
NA,2.08,0.75,0.68,NA,0.15,0.03,23.72,NA,6.14,100014,NFL,DST,0502,Indianapolis Colts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
NA,2.09,0.64,0.63,NA,0.16,0.03,21.45,NA,5.95,100009,NFL,DST,0511,Denver Broncos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
NA,2.31,0.75,0.53,NA,0.15,0.03,25.13,NA,5.95,100019,NFL,DST,0503,Miami Dolphins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA
NA,1.75,0.66,0.64,NA,0.15,0.02,24.01,NA,5.47,100010,NFL,DST,0522,Detroit Lions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA
49ers D/ST,2.977183657,0.554049076,0.482253952,0.741929156,NA,NA,NA,NA,NA,60025,ESPN,DST,0530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0736645,0.031939011,59.60904919
Steelers D/ST,2.132264196,0.917146299,0.488252062,0.751157018,NA,NA,NA,NA,NA,60023,ESPN,DST,0510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074260272,0.031562633,57.77971371
Bills D/ST,2.543152361,0.789989119,0.44706454,0.687791601,NA,NA,NA,NA,NA,60002,ESPN,DST,0501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076701087,0.033408888,61.99178612
Saints D/ST,1.873393876,0.810060052,0.527818011,0.812027709,NA,NA,NA,NA,NA,60018,ESPN,DST,0529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080827134,0.034377549,62.5710915
Dolphins D/ST,2.30856297,0.830745103,0.62706553,0.9647162,NA,NA,NA,NA,NA,60015,ESPN,DST,0503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076487171,0.032648037,65.47921805
Cowboys D/ST,2.90958786,0.943221785,0.566373525,0.871343884,NA,NA,NA,NA,NA,60006,ESPN,DST,0516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078327121,0.031630579,60.77179724
Browns D/ST,2.674989414,0.750347954,0.51362336,0.790189784,NA,NA,NA,NA,NA,60005,ESPN,DST,0507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075682415,0.032201086,58.78726356
Jets D/ST,2.06842508,0.526012372,0.597014282,0.918483511,NA,NA,NA,NA,NA,60020,ESPN,DST,0505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073954075,0.031701244,59.92823673
Patriots D/ST,2.179021201,0.707267666,0.480333327,0.73897435,NA,NA,NA,NA,NA,60017,ESPN,DST,0504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07704926,0.03079888,65.63983487
Packers D/ST,2.963666209,1.074461151,0.401526298,0.617732766,NA,NA,NA,NA,NA,60009,ESPN,DST,0523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072425476,0.032156672,56.4155165
Panthers D/ST,2.655724106,0.789341327,0.495439782,0.76221505,NA,NA,NA,NA,NA,60029,ESPN,DST,0527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076419776,0.03065794,61.90737744
Bengals D/ST,2.886155575,0.99855888,0.53740488,0.826776738,NA,NA,NA,NA,NA,60004,ESPN,DST,0506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078204144,0.032296622,63.38840761
Commanders D/ST,2.025953579,0.751854082,0.446966318,0.687640489,NA,NA,NA,NA,NA,60028,ESPN,DST,0520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074307533,0.03071493,57.77743356
Buccaneers D/ST,2.723243129,1.153041606,0.513078892,0.789352141,NA,NA,NA,NA,NA,60027,ESPN,DST,0525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074415622,0.031528556,58.66353079
Ravens D/ST,2.422976441,0.78375297,0.609419499,0.93756846,NA,NA,NA,NA,NA,60033,ESPN,DST,0531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077013581,0.031322943,58.26992977
Eagles D/ST,2.371940443,0.690071491,0.56414859,0.867920907,NA,NA,NA,NA,NA,60021,ESPN,DST,0518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073653012,0.032406561,61.39091474
Titans D/ST,2.156087629,0.845669109,0.508128076,0.781735501,NA,NA,NA,NA,NA,60010,ESPN,DST,0508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076781009,0.033041286,61.69236543
Seahawks D/ST,1.912683886,0.729238201,0.496261111,0.763478632,NA,NA,NA,NA,NA,60026,ESPN,DST,0515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073073202,0.029853908,61.54456292
Falcons D/ST,2.399842708,0.953151604,0.524361122,0.806709419,NA,NA,NA,NA,NA,60001,ESPN,DST,0526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074592196,0.032538111,58.96961063
Chiefs D/ST,2.112210822,0.796843812,0.530910916,0.816786025,NA,NA,NA,NA,NA,60012,ESPN,DST,0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080189548,0.033477529,62.34316239
Broncos D/ST,2.695229568,0.830897013,0.550409916,0.846784486,NA,NA,NA,NA,NA,60007,ESPN,DST,0511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070782515,0.030160933,59.17249007
Texans D/ST,2.327923874,0.567093273,0.466517814,0.717719714,NA,NA,NA,NA,NA,60034,ESPN,DST,0532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075818121,0.032846353,59.22610133
Jaguars D/ST,2.143001629,0.706424019,0.479040932,0.736986049,NA,NA,NA,NA,NA,60030,ESPN,DST,0509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073588173,0.030319659,60.55803064
Chargers D/ST,2.007366644,0.679963265,0.7020939,1.080144462,NA,NA,NA,NA,NA,60024,ESPN,DST,0514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077654171,0.031398586,60.24819025
Colts D/ST,2.047981323,0.924408959,0.51037397,0.785190724,NA,NA,NA,NA,NA,60011,ESPN,DST,0502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07564499,0.031738901,58.49171729
Giants D/ST,2.417108615,0.896345852,0.366096339,0.563225138,NA,NA,NA,NA,NA,60019,ESPN,DST,0517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073284871,0.033165704,59.86535276
Lions D/ST,2.201703646,0.749291033,0.42873476,0.659591939,NA,NA,NA,NA,NA,60008,ESPN,DST,0522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07519794,0.032196565,60.29245211
Vikings D/ST,1.95084008,0.710184054,0.450043401,0.692374463,NA,NA,NA,NA,NA,60016,ESPN,DST,0524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074722109,0.031892872,60.49238086
Bears D/ST,2.080954743,0.521359714,0.60309804,0.927843138,NA,NA,NA,NA,NA,60003,ESPN,DST,0521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074638189,0.032412887,57.601915
Rams D/ST,3.129903778,0.576775909,0.503797445,0.775072993,NA,NA,NA,NA,NA,60014,ESPN,DST,0528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070210117,0.02960365,59.39413244
Cardinals D/ST,2.622845103,0.912644131,0.594271686,0.914264132,NA,NA,NA,NA,NA,60022,ESPN,DST,0519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072425979,0.032503004,61.11935588
Raiders D/ST,2.274699917,0.707090941,0.563455119,0.866854029,NA,NA,NA,NA,NA,60013,ESPN,DST,0513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077313114,0.032846534,62.03049236
