player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts,pass_comp,pass_att,pass_yds,pass_tds,pass_int
Britain Covey,WR,PHI,NA,NA,0.2,2.3,NA,NA,0,0,0.2,NA,0,0,0.3,NA,24234,FantasyPros,15772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaelon Darden,WR,TB,NA,NA,0,1.3,NA,NA,0,0,1.2,NA,0,0,0.3,NA,22796,FantasyPros,15321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stanley Morgan Jr.,WR,CIN,NA,NA,0.2,2.2,NA,NA,0,0,0.1,NA,0,0,0.3,NA,18624,FantasyPros,14131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adams, Davante",WR,LVR,NA,10.3,6.5,90,NA,NA,0.9,NA,0,NA,0,0,14.3,NA,NA,FantasySharks,11675,@SEA,1.5,0.3,0.1,0.1,0.3,0.2,0.1,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diggs, Stefon",WR,BUF,NA,10.4,6.8,90,NA,NA,0.6,NA,0,NA,0,0,12.8,NA,NA,FantasySharks,12186,@DET,1.7,0.2,0.3,0.1,0,0,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill, Tyreek",WR,MIA,NA,10.6,7.5,96,NA,NA,0.4,NA,3,NA,0,0,12.6,NA,NA,FantasySharks,12801,HOU,0.8,0.3,0.1,0,0,0,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson, Justin",WR,MIN,NA,10,6.4,95,NA,NA,0.4,NA,1,NA,0.1,0,12.5,NA,NA,FantasySharks,14836,NEP,1.6,0.2,0.1,0.1,0,0,0,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chase, Ja'Marr",WR,CIN,NA,9.1,5.7,84,NA,NA,0.7,NA,1,NA,0,0.1,12.3,NA,NA,FantasySharks,15281,@TEN,1.2,0.2,0.1,0,0.1,0.1,0.1,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samuel, Deebo",WR,SFO,NA,7.2,4.4,62,NA,NA,0.3,NA,22,NA,0.3,0.1,11.7,NA,NA,FantasySharks,14136,NOS,0.9,0.1,0,0,0,0.1,0.1,3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hopkins, DeAndre",WR,ARI,NA,9.4,6.8,77,NA,NA,0.6,NA,0,NA,0,0,11.2,NA,NA,FantasySharks,11232,LAC,1,0.2,0.2,0.2,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, A.J.",WR,PHI,NA,8.8,5.5,77,NA,NA,0.6,NA,0,NA,0,0.1,11.2,NA,NA,FantasySharks,14104,GBP,1.1,0.2,0.2,0.1,0.1,0,0,1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamb, CeeDee",WR,DAL,NA,8.4,5.5,74,NA,NA,0.6,NA,2,NA,0,0,11.1,NA,NA,FantasySharks,14832,NYG,0.9,0.2,0.1,0.1,0.2,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooper, Amari",WR,CLE,NA,8.2,5.6,72,NA,NA,0.6,NA,0,NA,0,0,10.9,NA,NA,FantasySharks,12175,TBB,1.2,0.3,0.2,0.1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waddle, Jaylen",WR,MIA,NA,8.5,6,80,NA,NA,0.4,NA,1,NA,0,0.1,10.6,NA,NA,FantasySharks,15284,HOU,0.6,0.2,0.1,0.1,0,0,0,4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olave, Chris",WR,NOS,NA,9,5.3,79,NA,NA,0.5,NA,0,NA,0,0.1,10.5,NA,NA,FantasySharks,15754,@SFO,1.2,0.2,0.2,0,0,0,0.1,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higgins, Tee",WR,CIN,NA,8.8,5.8,83,NA,NA,0.3,NA,0,NA,0,0,10.4,NA,NA,FantasySharks,14835,@TEN,0.9,0.1,0,0,0,0.1,0.1,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metcalf, DK",WR,SEA,NA,9,6,68,NA,NA,0.6,NA,0,NA,0,0.1,10.3,NA,NA,FantasySharks,14102,LVR,1.3,0.2,0.2,0.1,0,0,0.1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lockett, Tyler",WR,SEA,NA,7.5,5,68,NA,NA,0.6,NA,0,NA,0,0.1,10.2,NA,NA,FantasySharks,12187,LVR,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Brown, Amon-Ra",WR,DET,NA,9.7,6.7,73,NA,NA,0.4,NA,4,NA,0,0,10.2,NA,NA,FantasySharks,15287,BUF,1.2,0.2,0.1,0,0,0,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evans, Mike",WR,TBB,NA,8.7,5.3,70,NA,NA,0.5,NA,0,NA,0,0,10.1,NA,NA,FantasySharks,11671,@CLE,1.5,0.3,0.1,0,0.1,0,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiyuk, Brandon",WR,SFO,NA,7.3,5,65,NA,NA,0.6,NA,1,NA,0,0.1,10,NA,NA,FantasySharks,14840,NOS,1,0.2,0.2,0,0.1,0,0.1,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirk, Christian",WR,JAC,NA,8,5.3,65,NA,NA,0.5,NA,2,NA,0,0.1,9.7,NA,NA,FantasySharks,13633,BAL,1.1,0.4,0.1,0,0,0,0,2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Gabriel",WR,BUF,NA,6.6,3.4,63,NA,NA,0.6,NA,0.1,NA,0,0,9.7,NA,NA,FantasySharks,14845,@DET,1.1,0.1,0.2,0.1,0.1,0,0.1,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaurin, Terry",WR,WAS,NA,9.1,5.5,79,NA,NA,0.2,NA,1,NA,0,0,9.4,NA,NA,FantasySharks,14109,ATL,0.6,0,0.1,0,0.1,0.1,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pittman, Michael",WR,IND,NA,10.4,7.1,78,NA,NA,0.2,NA,1,NA,0,0.1,9.1,NA,NA,FantasySharks,14842,PIT,0.8,0,0.1,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meyers, Jakobi",WR,NEP,NA,8.1,5.5,67,NA,NA,0.4,NA,1,NA,0,0.1,9,NA,NA,FantasySharks,14127,@MIN,1,0.1,0,0.1,0.1,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen, Keenan",WR,LAC,NA,9.3,6.1,74,NA,NA,0.3,NA,0,NA,0,0.1,8.9,NA,NA,FantasySharks,11222,@ARI,1.2,0.2,0,0,0.1,0,0,2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lazard, Allen",WR,GBP,NA,6.4,3.9,53,NA,NA,0.6,NA,0,NA,0,0,8.8,NA,NA,FantasySharks,13632,@PHI,1.2,0.3,0.1,0.2,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watson, Christian",WR,GBP,NA,5,3.4,40,NA,NA,0.7,NA,2,NA,0.1,0,8.7,NA,NA,FantasySharks,15789,@PHI,0.8,0.3,0.1,0.1,0.1,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boyd, Tyler",WR,CIN,NA,7,5,62,NA,NA,0.4,NA,1,NA,0,0,8.6,NA,NA,FantasySharks,12650,@TEN,0.7,0.1,0.1,0,0,0,0.2,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samuel, Curtis",WR,WAS,NA,7,4.5,50,NA,NA,0.3,NA,13,NA,0.1,0.1,8.5,NA,NA,FantasySharks,13157,ATL,0.6,0.1,0,0,0.1,0.1,0,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith-Schuster, JuJu",WR,KCC,NA,7,5.5,66,NA,NA,0.3,NA,0,NA,0,0.1,8.4,NA,NA,FantasySharks,13156,LAR,1,0.1,0.1,0,0,0.2,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmer, Josh",WR,LAC,NA,7.7,5.5,60,NA,NA,0.4,NA,0,NA,0,0,8.2,NA,NA,FantasySharks,15319,@ARI,0.8,0.2,0,0.1,0,0,0.1,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robinson, Allen",WR,LAR,NA,6.2,5,48,NA,NA,0.5,NA,2,NA,0,0,8.2,NA,NA,FantasySharks,11678,@KCC,1.2,0.2,0.1,0,0,0,0.1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Mike",WR,LAC,NA,7.3,4.3,60,NA,NA,0.3,NA,0,NA,0,0,8.1,NA,NA,FantasySharks,13154,@ARI,1.2,0,0.2,0,0,0.1,0,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slayton, Darius",WR,NYG,NA,6.7,3.9,61,NA,NA,0.3,NA,-0.3,NA,0,0,8,NA,NA,FantasySharks,14122,@DAL,0.5,0.1,0,0,0.1,0,0.1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mooney, Darnell",WR,CHI,NA,6.5,4.8,56,NA,NA,0.4,NA,1,NA,0,0,7.9,NA,NA,FantasySharks,14974,@NYJ,0.6,0.1,0.2,0.1,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, DeVonta",WR,PHI,NA,7.2,5,58,NA,NA,0.3,NA,0,NA,0,0.1,7.8,NA,NA,FantasySharks,15282,GBP,0.5,0.1,0.1,0,0.1,0,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sutton, Courtland",WR,DEN,NA,8.5,5.2,62,NA,NA,0.2,NA,0,NA,0,0,7.7,NA,NA,FantasySharks,13630,@CAR,0.8,0.1,0,0.1,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pickens, George",WR,PIT,NA,6.7,4.8,52,NA,NA,0.2,NA,5,NA,0.1,0,7.6,NA,NA,FantasySharks,15762,@IND,0.6,0.1,0,0.1,0,0,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Godwin, Chris",WR,TBB,NA,8.6,5.7,62,NA,NA,0.2,NA,1,NA,0,0.1,7.6,NA,NA,FantasySharks,13163,@CLE,1.1,0.1,0.1,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duvernay, Devin",WR,BAL,NA,5,3.7,44,NA,NA,0.3,NA,6,NA,0.1,0,7.5,NA,NA,FantasySharks,14847,@JAC,0.6,0.1,0.1,0.1,0,0,0.1,18,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peoples-Jones, Donovan",WR,CLE,NA,7,4.2,61,NA,NA,0.2,NA,0,NA,0,0.1,7.4,NA,NA,FantasySharks,14857,TBB,0.7,0.1,0.1,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooks, Brandin",WR,HOU,NA,7.6,4.6,56,NA,NA,0.3,NA,1,NA,0,0,7.3,NA,NA,FantasySharks,11674,@MIA,0.7,0,0.1,0.1,0,0.1,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeudy, Jerry",WR,DEN,NA,7,5,55,NA,NA,0.3,NA,0.1,NA,0,0,7.2,NA,NA,FantasySharks,14833,@CAR,0.7,0.1,0.1,0.1,0,0,0.1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Corey",WR,NYJ,NA,5.9,3.5,55,NA,NA,0.3,NA,1,NA,0,0.1,7.1,NA,NA,FantasySharks,13153,CHI,0.5,0.1,0,0,0,0,0.1,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Diontae",WR,PIT,NA,9.5,5.5,55,NA,NA,0.2,NA,2,NA,0,0.1,6.7,NA,NA,FantasySharks,14208,@IND,1.2,0.1,0.1,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, D.J.",WR,CAR,NA,8,4.2,53,NA,NA,0.2,NA,2,NA,0,0,6.7,NA,NA,FantasySharks,13635,DEN,0.5,0,0.1,0.1,0,0,0.1,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thielen, Adam",WR,MIN,NA,6.4,4,47,NA,NA,0.3,NA,0.1,NA,0,0,6.6,NA,NA,FantasySharks,11938,NEP,0.9,0.2,0,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson, Van",WR,LAR,NA,5.9,4,49,NA,NA,0.3,NA,1,NA,0,0,6.6,NA,NA,FantasySharks,14858,@KCC,1,0.2,0,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valdes-Scantling, Marquez",WR,KCC,NA,5.1,3.2,51,NA,NA,0.2,NA,-0.2,NA,0,0,6.4,NA,NA,FantasySharks,13793,LAR,0.8,0.1,0.1,0,0,0,0,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robinson, Demarcus",WR,BAL,NA,6,4.5,50,NA,NA,0.2,NA,1,NA,0,0.1,6.4,NA,NA,FantasySharks,12785,@JAC,0.6,0.1,0.1,0,0,0,0,5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"London, Drake",WR,ATL,NA,5.6,3.4,36,NA,NA,0.4,NA,3,NA,0.1,0.1,6.3,NA,NA,FantasySharks,15751,@WAS,1,0.3,0.1,0,0,0,0,2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Marquise",WR,ARI,NA,6.2,3.9,44,NA,NA,0.3,NA,1,NA,0,0,6.2,NA,NA,FantasySharks,14105,LAC,0.6,0.1,0,0.2,0.1,0,0,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dotson, Jahan",WR,WAS,NA,4.8,3.5,40,NA,NA,0.3,NA,1,NA,0,0,6.2,NA,NA,FantasySharks,15755,ATL,0.6,0.2,0.1,0.1,0,0,0,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campbell, Parris",WR,IND,NA,5.8,3.9,44,NA,NA,0.3,NA,1,NA,0,0,6,NA,NA,FantasySharks,14112,PIT,0.5,0.1,0,0,0.1,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McKenzie, Isaiah",WR,BUF,NA,4.3,2.7,29,NA,NA,0.3,NA,4,NA,0.1,0,5.7,NA,NA,FantasySharks,13313,@DET,0.8,0.2,0,0.1,0,0,0,14,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toney, Kadarius",WR,KCC,NA,5,3.5,41,NA,NA,0.2,NA,1,NA,0,0,5.6,NA,NA,FantasySharks,15289,LAR,0.6,0,0.1,0.1,0,0,0,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, Terrace",WR,CAR,NA,4.3,3,48,NA,NA,0.1,NA,0,NA,0,0,5.4,NA,NA,FantasySharks,15308,DEN,0.5,0,0,0.1,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pierce, Alec",WR,IND,NA,6,3.2,45,NA,NA,0.1,NA,0,NA,0,0,5.3,NA,NA,FantasySharks,15768,PIT,0.6,0.1,0,0,0.1,0,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Garrett",WR,NYJ,NA,6.4,3.9,46,NA,NA,0.1,NA,1,NA,0,0,5.2,NA,NA,FantasySharks,15753,CHI,0.7,0.1,0,0,0,0,0,2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Landry, Jarvis",WR,NOS,NA,4.8,3,33,NA,NA,0.2,NA,1,NA,0.1,0,5.2,NA,NA,FantasySharks,11680,@SFO,0.6,0.1,0,0,0,0,0.1,4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, Elijah",WR,NYJ,NA,5.8,3.1,38,NA,NA,0.2,NA,1,NA,0,0,5.1,NA,NA,FantasySharks,15288,CHI,0.6,0,0.1,0,0,0,0,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raymond, Kalif",WR,DET,NA,5.1,3.1,42,NA,NA,0.1,NA,3,NA,0,0.1,4.9,NA,NA,FantasySharks,13066,BUF,0.4,0,0,0,0,0,0,5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parker, DeVante",WR,NEP,NA,4.6,3,41,NA,NA,0.1,NA,0,NA,0,0,4.9,NA,NA,FantasySharks,12176,@MIN,0.2,0,0,0.1,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gallup, Michael",WR,DAL,NA,5.9,3.2,39,NA,NA,0.2,NA,0,NA,0,0,4.9,NA,NA,FantasySharks,13646,NYG,0.7,0.1,0,0.1,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reynolds, Josh",WR,DET,NA,4.8,2.4,37,NA,NA,0.2,NA,0,NA,0,0,4.8,NA,NA,FantasySharks,13168,BUF,1,0.1,0,0.1,0.1,0,0,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woods, Robert",WR,TEN,NA,5.6,3.3,38,NA,NA,0.1,NA,0,NA,0,0,4.8,NA,NA,FantasySharks,11228,CIN,1.1,0.1,0,0,0,0,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Julio",WR,TBB,NA,4.5,3,33,NA,NA,0.2,NA,1,NA,0,0,4.8,NA,NA,FantasySharks,10271,@CLE,0.8,0.1,0,0,0.1,0,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, Tre'Quan",WR,NOS,NA,4.8,3,38,NA,NA,0.1,NA,0,NA,0,0,4.7,NA,NA,FantasySharks,13645,@SFO,0.6,0,0.1,0,0,0,0,12,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goodwin, Marquise",WR,SEA,NA,3,2,30,NA,NA,0.3,NA,0,NA,0,0,4.6,NA,NA,FantasySharks,11239,LVR,0.4,0,0.1,0.1,0,0,0,4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chark, D.J.",WR,DET,NA,4.8,2.9,37,NA,NA,0.1,NA,1,NA,0,0,4.6,NA,NA,FantasySharks,13668,BUF,0.4,0.1,0,0.1,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collins, Nico",WR,HOU,NA,5.1,2.8,40,NA,NA,0.1,NA,0,NA,0,0,4.6,NA,NA,FantasySharks,15290,@MIA,0.5,0,0.1,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Westbrook-Ikhine, Nick",WR,TEN,NA,3.1,1.8,31,NA,NA,0.2,NA,0,NA,0,0,4.4,NA,NA,FantasySharks,15109,CIN,0.3,0.1,0,0,0,0,0.1,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golladay, Kenny",WR,NYG,NA,5.5,3.1,36,NA,NA,0.1,NA,0,NA,0,0,4.4,NA,NA,FantasySharks,13277,@DAL,0.7,0.1,0,0,0,0,0,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zaccheaus, Olamide",WR,ATL,NA,3.2,2.2,33,NA,NA,0.2,NA,2,NA,0,0.1,4.4,NA,NA,FantasySharks,14592,@WAS,0.2,0,0.1,0,0,0,0,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
